order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,state,city,category,sub_category,product_name,quantity,discount,sales,profit,order_year,order_month,order_month_name,delivery_days,profit_margin_pct
ORD-2025-105947,2025-07-18,2025-07-20,First Class,CU-10305,Kevin Oconnor,Consumer,West,Washington,Seattle,Office Supplies,Binders,Desk Organizer,2,0.2,227.08,22.06,2025,7,Jul,2,9.71
ORD-2024-108415,2024-04-16,2024-04-24,Standard Class,CU-10224,Matthew Moore,Consumer,West,California,San Francisco,Technology,Machines,Smartphone,4,0.2,7885.44,57.33,2024,4,Apr,8,0.73
ORD-2024-104144,2024-07-14,2024-07-20,Standard Class,CU-10282,Jessica Garcia,Corporate,North,Illinois,Aurora,Office Supplies,Paper,Ring Binder,14,0.2,1485.54,-102.95,2024,7,Jul,6,-6.93
ORD-2025-104802,2025-01-27,2025-02-02,Standard Class,CU-10138,David Alvarez,Corporate,South,North Carolina,Durham,Office Supplies,Labels,Ring Binder,14,0.1,1211.84,243.96,2025,1,Jan,6,20.13
ORD-2025-108833,2025-10-09,2025-10-17,Standard Class,CU-10386,Adam Burgess,Consumer,West,Arizona,Phoenix,Technology,Accessories,Bluetooth Speaker,11,0.0,24976.49,2694.48,2025,10,Oct,8,10.79
ORD-2022-101738,2022-01-10,2022-01-13,First Class,CU-10075,Sarah Moore,Consumer,North,Illinois,Naperville,Technology,Copiers,Desktop Printer,3,0.2,6307.77,790.62,2022,1,Jan,3,12.53
ORD-2023-104873,2023-07-12,2023-07-15,First Class,CU-10295,John Young,Corporate,East,Pennsylvania,Pittsburgh,Technology,Phones,Smartphone,12,0.3,21008.04,-4980.94,2023,7,Jul,3,-23.71
ORD-2022-105543,2022-03-22,2022-03-28,Standard Class,CU-10195,Allen Rosales,Home Office,South,Georgia,Savannah,Furniture,Chairs,Storage Cabinet,8,0.1,6122.64,1648.85,2022,3,Mar,6,26.93
ORD-2022-109150,2022-07-25,2022-07-31,Standard Class,CU-10317,Ashley Hall,Corporate,West,California,San Diego,Furniture,Tables,Glass Coffee Table,11,0.3,770.99,-139.2,2022,7,Jul,6,-18.05
ORD-2022-108593,2022-08-12,2022-08-17,Second Class,CU-10081,Mike Allen,Consumer,North,Wisconsin,Milwaukee,Office Supplies,Fasteners,Desk Organizer,7,0.3,1004.5,-148.41,2022,8,Aug,5,-14.77
ORD-2022-105868,2022-11-29,2022-12-01,First Class,CU-10365,Kenneth Lewis,Corporate,South,Florida,Tampa,Office Supplies,Labels,Desk Organizer,4,0.0,110.72,19.76,2022,11,Nov,2,17.85
ORD-2025-100169,2025-06-05,2025-06-11,Standard Class,CU-10301,Heather Fields,Consumer,North,Michigan,Grand Rapids,Office Supplies,Fasteners,Stapler,13,0.15,598.26,-52.61,2025,6,Jun,6,-8.79
ORD-2023-103530,2023-02-19,2023-02-26,Standard Class,CU-10371,Debra White,Corporate,West,California,San Francisco,Technology,Accessories,Desktop Printer,4,0.3,6870.48,-858.8,2023,2,Feb,7,-12.5
ORD-2023-102575,2023-08-13,2023-08-17,Second Class,CU-10347,Victor Brown,Consumer,North,Wisconsin,Madison,Office Supplies,Paper,Address Labels,13,0.2,1036.88,-75.13,2023,8,Aug,4,-7.25
ORD-2022-103524,2022-04-06,2022-04-12,Second Class,CU-10223,Theresa Clark,Corporate,East,Massachusetts,Boston,Office Supplies,Art,Storage Box,8,0.15,771.04,99.15,2022,4,Apr,6,12.86
ORD-2024-109352,2024-01-09,2024-01-11,Same Day,CU-10305,Kevin Oconnor,Consumer,South,Georgia,Atlanta,Office Supplies,Storage,Desk Organizer,2,0.15,223.62,14.82,2024,1,Jan,2,6.63
ORD-2024-101577,2024-11-08,2024-11-11,First Class,CU-10039,Brittany Farmer,Corporate,North,Michigan,Grand Rapids,Furniture,Tables,Glass Coffee Table,6,0.4,4350.66,-1074.08,2024,11,Nov,3,-24.69
